ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
A29093,-22.94972,-43.18158,2026-04-07 16:16:54-03:00,40,584,2026-04-07 16:16:57-03:00,2026-04-07 16:17:25-03:00,2026-04-07 16:43:46,2026-04-07,16,16,Tuesday,3.0,28.0
B25569,-22.90977,-43.17806,2026-04-07 16:01:52-03:00,10,249,2026-04-07 16:02:03-03:00,2026-04-07 16:02:20-03:00,2026-04-07 16:43:46,2026-04-07,16,1,Tuesday,11.0,17.0
B44603,-22.83921,-43.28333,2026-04-07 15:46:32-03:00,22,721,2026-04-07 15:46:43-03:00,2026-04-07 15:46:54-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,11.0,11.0
D13508,-22.87636,-43.4546,2026-04-07 16:16:01-03:00,44,803,2026-04-07 16:16:06-03:00,2026-04-07 16:16:29-03:00,2026-04-07 16:43:46,2026-04-07,16,16,Tuesday,5.0,23.0
B44508,-22.84434,-43.28406,2026-04-07 16:11:00-03:00,7,721,2026-04-07 16:11:12-03:00,2026-04-07 16:11:35-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,12.0,23.0
C47533,-23.00013,-43.33692,2026-04-07 15:56:33-03:00,37,554,2026-04-07 15:56:42-03:00,2026-04-07 15:56:58-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,9.0,16.0
A50098,-22.93291,-43.24139,2026-04-07 16:06:49-03:00,29,220,2026-04-07 16:06:58-03:00,2026-04-07 16:07:26-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,9.0,28.0
B10073,-22.90025,-43.23417,2026-04-07 16:06:03-03:00,22,634,2026-04-07 16:06:12-03:00,2026-04-07 16:06:25-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,9.0,13.0
C30210,-22.91638,-43.34443,2026-04-07 15:58:06-03:00,8,859,2026-04-07 15:58:28-03:00,2026-04-07 15:59:01-03:00,2026-04-07 16:43:46,2026-04-07,15,58,Tuesday,22.0,33.0
B32813,-22.90157,-43.25134,2026-04-07 16:22:32-03:00,25,627,2026-04-07 16:22:37-03:00,2026-04-07 16:23:06-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,5.0,29.0
B51512,-22.87741,-43.36565,2026-04-07 16:39:38-03:00,35,SV624,2026-04-07 16:39:48-03:00,2026-04-07 16:40:10-03:00,2026-04-07 16:43:46,2026-04-07,16,39,Tuesday,10.0,22.0
C47611,-22.99636,-43.25987,2026-04-07 16:06:20-03:00,55,LECD137,2026-04-07 16:06:32-03:00,2026-04-07 16:06:43-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,12.0,11.0
D86142,-22.9143,-43.55167,2026-04-07 15:44:24-03:00,0,835,2026-04-07 15:44:27-03:00,2026-04-07 15:44:46-03:00,2026-04-07 16:43:46,2026-04-07,15,44,Tuesday,3.0,19.0
D33176,-22.91306,-43.67904,2026-04-07 15:56:04-03:00,28,757,2026-04-07 15:56:14-03:00,2026-04-07 15:56:22-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,10.0,8.0
D86011,-22.87794,-43.46365,2026-04-07 16:14:39-03:00,31,SP864,2026-04-07 16:14:46-03:00,2026-04-07 16:15:12-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,7.0,26.0
C27035,-22.81121,-43.32981,2026-04-07 16:10:14-03:00,0,775,2026-04-07 16:10:22-03:00,2026-04-07 16:10:49-03:00,2026-04-07 16:43:46,2026-04-07,16,10,Tuesday,8.0,27.0
C30022,-23.00061,-43.34261,2026-04-07 15:55:01-03:00,0,565,2026-04-07 15:55:07-03:00,2026-04-07 15:55:27-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,6.0,20.0
B11596,-22.86814,-43.256,2026-04-07 16:29:36-03:00,0,908,2026-04-07 16:29:48-03:00,2026-04-07 16:30:11-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,12.0,23.0
