ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
B44691,"-22,87774","-43,32584",1775499637000,31,712,1775499640000,1775499658000,2026-04-06 16:20:49
B44597,"-22,82316","-43,32828",1775499636000,33,LECD140,1775499640000,1775499658000,2026-04-06 16:20:49
B44692,"-22,84065","-43,29738",1775499636000,39,721,1775499640000,1775499658000,2026-04-06 16:20:49
B44646,"-22,87689","-43,33424",1775499636000,0,721,1775499640000,1775499658000,2026-04-06 16:20:49
B44508,"-22,87472","-43,33478",1775499638000,29,721,1775499640000,1775499658000,2026-04-06 16:20:49
B44523,"-22,86116","-43,3553",1775499637000,0,638,1775499640000,1775499658000,2026-04-06 16:20:49
B44585,"-22,84039","-43,2985",1775499638000,26,721,1775499640000,1775499658000,2026-04-06 16:20:49
A48021,"-22,94364","-43,17421",1775499620000,70,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48090,"-22,98386","-43,21274",1775499628000,16,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48027,"-22,93424","-43,20984",1775499628000,24,161,1775499640000,1775499670000,2026-04-06 16:20:49
A48091,"-22,90134","-43,18554",1775499624000,37,202,1775499640000,1775499670000,2026-04-06 16:20:49
A48015,"-22,9205","-43,21705",1775499624000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48010,"-22,98557","-43,22342",1775499622000,0,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48109,"-22,90071","-43,17838",1775499627000,20,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48063,"-22,92256","-43,22198",1775499625000,7,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48047,"-22,98388","-43,21366",1775499628000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48037,"-22,9023","-43,19103",1775499621000,0,202,1775499640000,1775499670000,2026-04-06 16:20:49
A48074,"-22,93566","-43,18941",1775499624000,20,117,1775499640000,1775499670000,2026-04-06 16:20:49
A48066,"-22,94126","-43,18241",1775499625000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48146,"-22,96578","-43,21895",1775499543000,14,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48084,"-22,91138","-43,19537",1775499634000,29,202,1775499640000,1775499670000,2026-04-06 16:20:49
A48056,"-22,93533","-43,18905",1775499629000,11,585,1775499640000,1775499670000,2026-04-06 16:20:49
A48100,"-22,91809","-43,21709",1775499631000,37,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48087,"-22,99766","-43,26445",1775499561000,66,LECD131,1775499640000,1775499670000,2026-04-06 16:20:49
A48005,"-22,92081","-43,22345",1775499631000,14,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48054,"-22,97691","-43,2302",1775499626000,27,539,1775499640000,1775499670000,2026-04-06 16:20:49
A48087,"-22,99891","-43,2691",1775499591000,53,LECD131,1775499640000,1775499670000,2026-04-06 16:20:49
A48092,"-22,9436","-43,25495",1775499628000,0,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48087,"-22,99912","-43,2711",1775499621000,31,LECD131,1775499640000,1775499670000,2026-04-06 16:20:49
A48088,"-22,92541","-43,20538",1775499634000,18,133,1775499640000,1775499670000,2026-04-06 16:20:49
A48026,"-22,95953","-43,20128",1775499627000,3,LECD138,1775499640000,1775499670000,2026-04-06 16:20:49
A48115,"-22,96711","-43,18051",1775499625000,16,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48119,"-22,93017","-43,25418",1775499634000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48082,"-22,91613","-43,19412",1775499631000,61,117,1775499640000,1775499670000,2026-04-06 16:20:49
A48138,"-22,93992","-43,19982",1775499634000,0,117,1775499640000,1775499670000,2026-04-06 16:20:49
A48044,"-22,98407","-43,19147",1775499631000,7,539,1775499640000,1775499670000,2026-04-06 16:20:49
A48048,"-22,93111","-43,2014",1775499630000,29,133,1775499640000,1775499670000,2026-04-06 16:20:49
A48093,"-22,93651","-43,18384",1775499626000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48019,"-22,93151","-43,20905",1775499628000,37,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48068,"-22,97649","-43,22946",1775499634000,14,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48102,"-22,9768","-43,19263",1775499633000,0,169,1775499640000,1775499670000,2026-04-06 16:20:49
A48066,"-22,94126","-43,18242",1775499630000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48146,"-22,96609","-43,21914",1775499633000,0,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48020,"-22,90826","-43,17454",1775499630000,0,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48041,"-22,91566","-43,20823",1775499631000,0,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48036,"-22,98505","-43,20874",1775499635000,1,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48146,"-22,96609","-43,21914",1775499634000,0,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48111,"-22,92969","-43,23734",1775499636000,0,426,1775499640000,1775499670000,2026-04-06 16:20:49
A48098,"-22,90286","-43,18402",1775499631000,9,415,1775499640000,1775499670000,2026-04-06 16:20:49
A48113,"-22,98431","-43,24066",1775499634000,9,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48122,"-22,96249","-43,21579",1775499633000,25,LECD128,1775499640000,1775499670000,2026-04-06 16:20:49
A48053,"-22,97649","-43,19858",1775499632000,46,415,1775499640000,1775499670000,2026-04-06 16:20:49
A29124,"-22,96913","-43,18653",1775499635000,0,474,1775499640000,1775499674000,2026-04-06 16:20:49
D33204,"-22,87582","-43,41954",1775499630000,0,ESPECIAL,1775499640000,1775499655000,2026-04-06 16:20:49
D33066,"-22,88321","-43,41953",1775499629000,0,383,1775499640000,1775499655000,2026-04-06 16:20:49
D33253,"-22,86689","-43,41124",1775499628000,25,737,1775499640000,1775499655000,2026-04-06 16:20:49
D33239,"-22,87552","-43,46339",1775499629000,8,746,1775499640000,1775499655000,2026-04-06 16:20:49
D33258,"-22,91078","-43,23392",1775499629000,43,383,1775499640000,1775499655000,2026-04-06 16:20:49
D33163,"-22,85684","-43,49602",1775499629000,24,756,1775499640000,1775499655000,2026-04-06 16:20:49
D33224,"-22,88437","-43,39982",1775499630000,15,743,1775499640000,1775499655000,2026-04-06 16:20:49
D33235,"-22,88236","-43,32933",1775499630000,29,794,1775499640000,1775499655000,2026-04-06 16:20:49
D33051,"-22,87787","-43,44775",1775499629000,21,SV777,1775499640000,1775499655000,2026-04-06 16:20:49
D33290,"-22,87972","-43,35558",1775499630000,0,745,1775499640000,1775499655000,2026-04-06 16:20:49
D33259,"-22,87548","-43,41994",1775499628000,0,SV777,1775499640000,1775499655000,2026-04-06 16:20:49
D33314,"-22,87557","-43,41924",1775499629000,0,ESPECIAL,1775499640000,1775499655000,2026-04-06 16:20:49
D33072,"-22,89276","-43,45366",1775499630000,0,SV391,1775499640000,1775499655000,2026-04-06 16:20:49
D33278,"-22,89318","-43,32232",1775499630000,0,383,1775499640000,1775499655000,2026-04-06 16:20:49
D33165,"-22,85361","-43,38324",1775499632000,0,754,1775499640000,1775499655000,2026-04-06 16:20:49
